38 Provinsi,2019,2020,2021,2022,2023
ACEH,28.7,28.06,28.3,27.58,28.66
BALI,20.96,20.5,19.58,17.91,18.9
BANTEN,31.69,31.58,31.76,31.21,29.34
BENGKULU,33.14,32.31,33.17,32.16,31.86
DI YOGYAKARTA,22.87,22.64,24.54,23.97,24.82
DKI JAKARTA,26.04,25.75,24.44,21.25,22.6
GORONTALO,32.37,30.3,30.5,30.38,30.69
JAMBI,28.54,28.01,27.47,28.62,28.67
JAWA BARAT,32.97,32.55,32.68,32.07,32.78
JAWA TENGAH,27.4,27.7,28.24,28.72,28.55
JAWA TIMUR,27.93,27.78,28.53,28.51,28.83
KALIMANTAN BARAT,28.5,27.49,27.93,26.64,26.96
KALIMANTAN SELATAN,23.95,23.83,24.51,21.89,22.24
KALIMANTAN TENGAH,29.84,28.89,29.33,26.54,27.24
KALIMANTAN TIMUR,24.52,24.42,23.37,22.21,22.97
KALIMANTAN UTARA,27.63,25.66,27.46,24.23,25.36
KEP. BANGKA BELITUNG,29.18,28.23,28.16,26.84,27.33
KEP. RIAU,27.59,26.16,26.17,23.08,25.49
LAMPUNG,34.39,33.43,34.07,33.81,34.08
MALUKU,27.09,26.18,27.9,26.8,28.04
MALUKU UTARA,31.18,29.83,29.84,28.82,28.82
NUSA TENGGARA BARAT,30.49,30.58,32.71,33.2,32.79
NUSA TENGGARA TIMUR,27.33,26.14,27.22,26.76,26.64
PAPUA,26.05,26.97,24.91,22.22,22.3
PAPUA BARAT,28.67,25.8,27.07,24.8,25.3
RIAU,29.04,28.06,28.34,26.86,27.76
SULAWESI BARAT,27.06,26.85,27.17,25.36,25.3
SULAWESI SELATAN,25.59,24.89,24.91,23.76,24.24
SULAWESI TENGAH,31.64,30.64,29.77,29.04,28.28
SULAWESI TENGGARA,26.8,25.77,25.85,23.35,24.66
SULAWESI UTARA,28.41,27.95,27.87,25.29,26.96
SUMATERA BARAT,30.75,30.08,30.5,30.27,30.42
SUMATERA SELATAN,30.91,30.56,30.65,30.49,30.91
SUMATERA UTARA,27.46,27.28,27.24,25.32,26.28
